city,city_ascii,lat,lng,country,iso3,population
Cento,Cento,44.7333,11.2833,Italy,ITA,35547
Monroe,Monroe,35.0061,-80.5595,United States,USA,35540
José Bonifácio,Jose Bonifacio,-21.0528,-49.6878,Brazil,BRA,35538
Pambujan,Pambujan,12.5667,124.9333,Philippines,PHL,35532
Yangambi,Yangambi,0.7675,24.4414,Congo (Kinshasa),COD,35531
Miranda de Ebro,Miranda de Ebro,42.6833,-2.9333,Spain,ESP,35528
Randallstown,Randallstown,39.3723,-76.8024,United States,USA,35528
Lökbatan,Lokbatan,40.3272,49.7300,Azerbaijan,AZE,35523
Savonlinna,Savonlinna,61.8667,28.8831,Finland,FIN,35523
Bell,Bell,33.9801,-118.1798,United States,USA,35521
Rifu,Rifu,38.3303,140.9756,Japan,JPN,35521
Miahuatlán de Porfirio Díaz,Miahuatlan de Porfirio Diaz,16.3283,-96.5961,Mexico,MEX,35517
Uşak,Usak,38.6833,29.4000,Turkey,TUR,35517
Guamá Abajo,Guama Abajo,19.9758,-76.4100,Cuba,CUB,35516
Udhampur,Udhampur,32.9300,75.1300,India,IND,35507
Dimitrovgrad,Dimitrovgrad,42.0574,25.5862,Bulgaria,BGR,35507
Gigante,Gigante,2.3867,-75.5461,Colombia,COL,35498
Segrate,Segrate,45.4900,9.2953,Italy,ITA,35492
Nova Cruz,Nova Cruz,-6.4778,-35.4339,Brazil,BRA,35490
Coevorden,Coevorden,52.6667,6.7500,Netherlands,NLD,35483
Gahanna,Gahanna,40.0251,-82.8637,United States,USA,35483
Cartagena del Chairá,Cartagena del Chaira,1.3361,-74.8467,Colombia,COL,35473
Sanford,Sanford,35.4874,-79.1772,United States,USA,35467
Cutral-Có,Cutral-Co,-38.9333,-69.2333,Argentina,ARG,35465
Rio Brilhante,Rio Brilhante,-21.8019,-54.5458,Brazil,BRA,35465
Riviera Beach,Riviera Beach,26.7812,-80.0742,United States,USA,35463
Accrington,Accrington,53.7534,-2.3638,United Kingdom,GBR,35456
Pola,Pola,13.1439,121.4400,Philippines,PHL,35455
Minami-Bōsō,Minami-Boso,35.0433,139.8403,Japan,JPN,35454
Bougouni,Bougouni,11.4177,-7.4832,Mali,MLI,35450
Jasło,Jaslo,49.7333,21.4667,Poland,POL,35445
Tallkalakh,Tallkalakh,34.6683,36.2597,Syria,SYR,35445
Bagnolet,Bagnolet,48.8692,2.4181,France,FRA,35442
Sinsheim,Sinsheim,49.2500,8.8833,Germany,DEU,35442
Wildwood,Wildwood,38.5799,-90.6699,United States,USA,35432
Pilão Arcado,Pilao Arcado,-10.0028,-42.5039,Brazil,BRA,35428
Boyarka,Boyarka,50.3292,30.2886,Ukraine,UKR,35411
Bom Jesus do Itabapoana,Bom Jesus do Itabapoana,-21.1339,-41.6800,Brazil,BRA,35411
Dayr Ḩāfir,Dayr Hafir,36.1592,37.7040,Syria,SYR,35409
Kundian,Kundian,32.4522,71.4718,Pakistan,PAK,35406
Zorgo,Zorgo,12.2500,-0.6167,Burkina Faso,BFA,35406
Riachão do Jacuípe,Riachao do Jacuipe,-11.8100,-39.3819,Brazil,BRA,35403
