iso3,city,country,population,city_ascii,lng,lat
CZE,Brno,Czechia,382405,Brno,16.6083,49.1953
ITA,Florence,Italy,380948,Florence,11.2542,43.7714
SRB,Novi Sad,Serbia,380000,Novi Sad,19.8317,45.2644
ESP,Las Palmas,Spain,378675,Las Palmas,-15.4314,28.1272
SLV,Usulután,El Salvador,378606,Usulutan,-88.45,13.35
PER,Huancayo,Peru,378203,Huancayo,-75.2167,-12.0667
PER,Iquitos,Peru,377609,Iquitos,-73.25,-3.7333
VEN,Cumaná,Venezuela,374706,Cumana,-64.1667,10.45
PHL,Lipa City,Philippines,372931,Lipa City,121.1622,13.9411
PHL,Butuan,Philippines,372910,Butuan,125.5288,8.9534
BGR,Plovdiv,Bulgaria,366511,Plovdiv,24.7415,42.1421
BLR,Vitsyebsk,Belarus,364800,Vitsyebsk,30.1667,55.1833
PRK,Wŏnsan,North Korea,363127,Wonsan,127.4461,39.1475
KAZ,Taraz,Kazakhstan,357795,Taraz,71.3667,42.8833
AGO,Cubal,Angola,357618,Cubal,14.3672,-13.1117
BLR,Mahilyow,Belarus,357100,Mahilyow,30.343,53.9089
BLR,Hrodna,Belarus,356900,Hrodna,23.8167,53.6667
TUR,Manisa,Turkey,356702,Manisa,27.4167,38.6333
SDN,Gedaref,Sudan,354927,Gedaref,35.3833,14.0333
KAZ,Pavlodar,Kazakhstan,353930,Pavlodar,76.9564,52.3156
NPL,Pokhara,Nepal,353841,Pokhara,83.9853,28.2097
TUR,Van,Turkey,353419,Van,43.4167,38.5019
ARG,Corrientes,Argentina,352646,Corrientes,-58.8167,-27.4833
VNM,Nam Định,Vietnam,352108,Nam Dinh,106.1683,20.42
PRK,Sinŭiju,North Korea,352000,Sinuiju,124.4,40.1
KAZ,Semey,Kazakhstan,350201,Semey,80.2275,50.4111
CUB,Holguín,Cuba,350191,Holguin,-76.2631,20.8872
UZB,Qoqon,Uzbekistan,350000,Qoqon,70.94,40.5404
CHL,Antofagasta,Chile,348517,Antofagasta,-70.398,-23.6464
TUR,Hatay,Turkey,347974,Hatay,36.1606,36.2025
BGR,Varna,Bulgaria,347924,Varna,27.9111,43.2114
POL,Bydgoszcz,Poland,346739,Bydgoszcz,18,53.1167
ESP,Bilbao,Spain,346405,Bilbao,-2.9236,43.2569
PRK,Tanch’ŏn,North Korea,345876,Tanch'on,128.911,40.458
SDN,Kūstī,Sudan,345068,Kusti,32.66,13.17
FRA,Nice,France,341032,Nice,7.2663,43.7034
BLR,Brest,Belarus,340318,Brest,23.6569,52.0847
POL,Lublin,Poland,339850,Lublin,22.5667,51.2333
ZAF,East London,South Africa,338627,East London,27.9116,-33.0153
PRK,Kaesŏng,North Korea,338155,Kaesong,126.5644,37.964
ESP,Alicante,Spain,337304,Alicante,-0.4831,38.3453
GBR,Belfast,United Kingdom,333871,Belfast,-5.93,54.5964
COD,Beni,Congo (Kinshasa),332903,Beni,29.4731,0.4911
CHL,Viña del Mar,Chile,332875,Vina del Mar,-71.5518,-33.0245
SDN,Wad Medani,Sudan,332714,Wad Medani,33.51,14.4
AZE,Gəncə,Azerbaijan,331400,Ganca,46.3606,40.6828
BGD,Mymensingh,Bangladesh,330126,Mymensingh,90.38,24.7504
ECU,Cuenca,Ecuador,329928,Cuenca,-79.0045,-2.8974
PER,Pucallpa,Peru,326040,Pucallpa,-74.55,-8.3833
ROU,Cluj-Napoca,Romania,324576,Cluj-Napoca,23.5594,46.78
TUR,Yıldırım,Turkey,324377,Yildirim,29.0822,40.1878
HTI,Gonaïves,Haiti,324043,Gonaives,-72.6883,19.4456
ETH,Nazrēt,Ethiopia,324000,Nazret,39.2667,8.55
ETH,Gonder,Ethiopia,323900,Gonder,37.4667,12.6
ETH,Mekele,Ethiopia,323700,Mekele,39.4769,13.4969
ITA,Bari,Italy,323370,Bari,16.8667,41.1253
AGO,Uíge,Angola,322531,Uige,15.0613,-7.6087
CUB,Camagüey,Cuba,321992,Camaguey,-77.9186,21.3786
ARG,San Salvador de Jujuy,Argentina,321789,San Salvador de Jujuy,-65.2994,-24.1856
AGO,Menongue,Angola,320914,Menongue,17.6842,-14.6556
PRY,Ciudad del Este,Paraguay,320782,Ciudad del Este,-54.6167,-25.5167
CMR,Maroua,Cameroon,319941,Maroua,14.3275,10.5823
UZB,Nukus,Uzbekistan,319583,Nukus,59.6022,42.4647
PRK,Kaech’ŏn,North Korea,319554,Kaech'on,125.9061,39.6986
ROU,Timişoara,Romania,319279,Timisoara,21.23,45.7597
KAZ,Öskemen,Kazakhstan,319067,Oskemen,82.6149,49.99
NIC,Boaco,Nicaragua,317000,Boaco,-85.6667,12.4667
EGY,Al Fayyūm,Egypt,315940,Al Fayyum,30.8333,29.3
SSD,Bor,South Sudan,315351,Bor,31.55,6.2167
GRC,Thessaloníki,Greece,315196,Thessaloniki,22.9356,40.6403
FRA,Nantes,France,314138,Nantes,-1.5528,47.2181
ZAF,Port Elizabeth,South Africa,312392,Port Elizabeth,25.6,-33.9581
ITA,Catania,Italy,311584,Catania,15.0873,37.5027
